,Ticker,Sample Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
21,DD,3,59307,177582,-0.24058228346456678,-0.20614228346456684,0.33396965908706966,-0.33768000000000004,-0.9157868503937004,0.5949173586314147,1.1613109089671114,0.5781068503937001,0.21821314960629945,0.2404704873273609,0.6884282179639694,-1.4999999999999993,-1.5000000000000002,[-0.91578685 -0.33768     0.53172   ],[-1.134      -0.91578685  1.43136   ],[-0.91578685 -0.33768     0.53172   ],[-1.134      -0.91578685  1.43136   ],-0.33768,-1.3258022399999998
22,EK,3,30282,78791,-2.1457022834645665,-2.094462283464567,0.38433323602949576,-1.4615999999999998,-2.31588,1.3716354868014127,0.8859352718243004,0.5458131496062996,0.73584,-0.6240596550714447,0.35927706754832556,-1.5,-1.5,[-4.05972    -1.4616     -0.91578685],[-3.05172    -2.31588    -0.91578685],[-4.05972    -1.4616     -0.91578685],[-3.05172    -2.31588    -0.91578685],-4.0597199999999996,-3.0517200000000004
23,ETN,3,17328,88633,-0.36658228346456667,-0.557262283464567,0.19550280369614026,-0.9157868503937002,-0.9157868503937004,0.96905951198464,1.0096910084505366,0.26357314960629974,0.6592131496062997,0.6680762611758154,0.48785474246246063,-1.5000000000000004,-1.5,[-1.17936    -0.91578685  0.9954    ],[-1.575      -0.91578685  0.819     ],[-1.17936    -0.91578685  0.9954    ],[-1.575      -0.91578685  0.819     ],-1.3578949439999999,-2.0459250000000004
24,XOM,3,287782,544445,-1.9231022834645668,-2.0339822834645673,0.5285786443075058,-0.9157868503937002,-0.9157868503937004,4.117548426971002,4.574926171346405,3.4559468503937003,3.8415068503937007,-0.35231808916484525,-0.35202575557357246,-1.4999999999999996,-1.4999999999999998,[-7.39368    -0.91578685  2.54016   ],[-8.11188    -0.91578685  2.92572   ],[-7.39368    -0.91578685  2.54016   ],[-8.11188    -0.91578685  2.92572   ],-23.634650188800006,-28.9192495536
25,WMI,3,22051,73100,0.10045771653543323,0.14413771653543325,0.3016552667578659,-0.82656,-0.9157868503937004,1.374576682585039,1.7109267967361887,0.08922685039370026,0.29381314960629934,0.7048728369506324,0.691499238871248,-1.4999999999999998,-1.5000000000000007,[-0.91578685 -0.82656     2.04372   ],[-1.2096     -0.91578685  2.5578    ],[-0.91578685 -0.82656     2.04372   ],[-1.2096     -0.91578685  2.5578    ],-0.82656,-1.745714879999999
26,BMC,3,30872,79976,-2.942862283464567,-2.9554622834645667,0.38601580474142244,-1.72872,-1.44396,2.3157913393222023,2.520302772790685,0.8129331496062998,0.5281731496062995,-0.6423170084143981,-0.6838866527918182,-1.5000000000000002,-1.5000000000000002,[-6.18408    -1.72872    -0.91578685],[-6.50664    -1.44396    -0.91578685],[-6.18408    -1.72872    -0.91578685],[-6.50664    -1.44396    -0.91578685],-6.184079999999999,-6.50664
27,GD,3,25663,88745,-2.480862283464567,-2.1851822834645667,0.2891768550340864,-1.1138400000000002,-1.62036,2.074882169666745,1.3285008605005064,0.19805314960629994,0.7045731496062996,-0.7022778844091137,-0.5608853770012803,-1.5000000000000004,-1.4999999999999998,[-5.41296    -1.11384    -0.91578685],[-4.0194     -1.62036    -0.91578685],[-5.41296    -1.11384    -0.91578685],[-4.0194     -1.62036    -0.91578685],-5.41296,-4.0194
28,GE,3,267784,410730,-1.8869822834645669,-2.0029022834645667,0.6519708811141139,-1.55232,-1.4238,0.9592503651335528,1.196308335175522,0.6365331496062997,0.5080131496062995,-0.48085412024617824,-0.6126794312701714,-1.5000000000000004,-1.5000000000000002,[-3.19284    -1.55232    -0.91578685],[-3.66912    -1.4238     -0.91578685],[-3.19284    -1.55232    -0.91578685],[-3.66912    -1.4238     -0.91578685],-3.192840000000001,-3.66912
29,LH,3,9136,46752,-1.2821822834645669,-1.0957022834645669,0.19541409993155373,-0.9157868503937002,-0.9157868503937004,1.1739829284481074,0.7201593489836389,0.8527868503937002,0.5982668503937004,-0.43774468697717867,-0.35914824935940287,-1.5000000000000004,-1.5,[-2.86776    -0.91578685 -0.063     ],[-2.0538     -0.91578685 -0.31752   ],[-2.86776    -0.91578685 -0.063     ],[-2.0538     -0.91578685 -0.31752   ],-2.86776,-2.0538
30,NVLS,3,41550,152866,0.8262177165354334,1.117697716535433,0.27180668036057726,-0.9157868503937002,-0.9157868503937004,4.266969799518269,4.295079153213533,2.3904531496062997,1.9066131496062995,0.5443360787548801,0.6040448811593608,-1.5,-1.5,[-3.30624    -0.91578685  6.70068   ],[-2.8224     -0.91578685  7.09128   ],[-3.30624    -0.91578685  6.70068   ],[-2.8224     -0.91578685  7.09128   ],-18.7596162432,-15.745548672
31,GM,3,112908,206386,2.7968577165354334,2.7246177165354335,0.5470719913172405,4.5864,4.50324,2.625802331816736,2.574378624650859,0.13356000000000012,0.08316000000000034,-0.7057349616480539,-0.7065534324632783,-1.5,-1.5,[-0.91578685  4.5864      4.71996   ],[-0.91578685  4.50324     4.5864    ],[-0.91578685  4.5864      4.71996   ],[-0.91578685  4.50324     4.5864    ],0.0,0.0
32,GR,3,19835,70786,0.4448577165354332,0.3322977165354331,0.280210776142175,0.693,-0.30239999999999995,1.0247909642248434,1.3546740572932447,0.8643599999999999,0.6133868503937006,-0.34901212485182015,0.5999383303731096,-1.4999999999999998,-1.4999999999999998,[-0.91578685  0.693       1.55736   ],[-0.91578685 -0.3024      2.21508   ],[-0.91578685  0.693       1.55736   ],[-0.91578685 -0.3024      2.21508   ],0.0,-0.30240000000000006
33,IR,3,53937,135242,0.5322177165354333,0.47929771653543324,0.39881841439789417,0.8694,0.59472,1.0714997687931684,1.0950066684919888,0.7736399999999999,1.16424,-0.4408623561030619,-0.1569405875409369,-1.5,-1.5000000000000002,[-0.91578685  0.8694      1.64304   ],[-0.91578685  0.59472     1.75896   ],[-0.91578685  0.8694      1.64304   ],[-0.91578685  0.59472     1.75896   ],0.0,0.0
34,IBM,3,72972,215407,-0.7294622834645667,-0.846222283464567,0.33876336423607406,-0.9157868503937002,-0.9157868503937004,0.899599778857612,0.6828301868590895,0.8104131496062997,0.7297731496062997,0.3017940003832965,0.1517578596693689,-1.5,-1.5000000000000002,[-1.7262     -0.91578685  0.4536    ],[-1.64556    -0.91578685  0.02268   ],[-1.7262     -0.91578685  0.4536    ],[-1.64556    -0.91578685  0.02268   ],-2.05560432,-1.6602013008
35,ITT,3,15216,72167,-0.8269022834645666,-0.5900222834645669,0.21084429171227848,-0.9157868503937002,-0.9157868503937004,1.8600778947987877,1.571469548840595,2.1434931496062997,1.4152131496062994,0.07156898525134128,0.3020407029501722,-1.5,-1.5,[-3.05928    -0.91578685  1.49436   ],[-2.331      -0.91578685  1.47672   ],[-3.05928    -0.91578685  1.49436   ],[-2.331      -0.91578685  1.47672   ],-6.136585660800002,-4.296514320000001
36,PCG,3,25281,90694,-2.8311422834645668,-3.1864622834645666,0.27875052373916687,-0.9157868503937002,-0.9157868503937004,3.965726686383851,4.524818939004718,1.6919468503937,1.7751068503937004,-0.6118031413922941,-0.6263650921096033,-1.5,-1.4999999999999998,[-8.3538     -0.91578685  0.77616   ],[-9.50292    -0.91578685  0.85932   ],[-8.3538     -0.91578685  0.77616   ],[-9.50292    -0.91578685  0.85932   ],-14.061525408,-16.8096492144
37,PEP,3,56327,150093,-0.9898622834645666,-0.9344222834645669,0.3752806593245521,-0.9157868503937002,-0.9157868503937004,1.0290907847669797,0.9270295669949635,1.1476268503937002,1.1073068503937005,-0.10759919551133458,-0.03014533729177845,-1.5,-1.5000000000000002,[-2.28564    -0.91578685  0.23184   ],[-2.079      -0.91578685  0.19152   ],[-2.28564    -0.91578685  0.23184   ],[-2.079      -0.91578685  0.19152   ],-2.5837027776,-2.2856500800000004
38,MO,3,104623,221739,-1.7240222834645664,-1.6324622834645668,0.47182949323303525,-0.9157868503937002,-0.9157868503937004,2.349334117922699,2.0213074758145178,1.5785468503937001,1.3215068503937004,-0.47532384880254475,-0.4872676354540617,-1.4999999999999998,-1.5,[-4.91904    -0.91578685  0.66276   ],[-4.38732    -0.91578685  0.40572   ],[-4.91904    -0.91578685  0.66276   ],[-4.38732    -0.91578685  0.40572   ],-7.516422950399999,-5.761623470400001
39,COP,3,140437,313171,-1.148622283464567,-1.5392222834645664,0.44843551925305986,-0.9157868503937002,-0.9157868503937004,2.78465026943181,3.1329586670756013,3.0552668503937,2.8637468503937002,-0.12483626228597113,-0.2906091105487883,-1.5000000000000007,-1.5,[-4.66956    -0.91578685  2.13948   ],[-5.64984    -0.91578685  1.94796   ],[-4.66956    -0.91578685  2.13948   ],[-5.64984    -0.91578685  1.94796   ],-12.520510228800001,-14.707542326399999
40,AMGN,3,138584,306328,-2.326302283464567,-2.454822283464567,0.4524039591548928,-2.21256,-2.3184,1.200812597146427,1.3158520260742903,1.2967731496062997,1.4026131496062995,-0.14123179593590238,-0.15439962625973194,-1.4999999999999998,-1.5000000000000004,[-3.85056    -2.21256    -0.91578685],[-4.13028    -2.3184     -0.91578685],[-3.85056    -2.21256    -0.91578685],[-4.13028    -2.3184     -0.91578685],-2.21256,-2.3184
41,SLB,3,150697,305527,0.6304977165354333,0.31717771653543325,0.49323627699024963,1.06596,0.5166000000000001,1.127615405429355,0.935980862011277,0.67536,0.8341200000000001,-0.5216768303857933,-0.30992144135612165,-1.4999999999999998,-1.4999999999999998,[-0.91578685  1.06596     1.74132   ],[-0.91578685  0.5166      1.35072   ],[-0.91578685  1.06596     1.74132   ],[-0.91578685  0.5166      1.35072   ],0.0,0.0
42,CVX,3,116937,285909,-1.0234622834645668,-1.0537022834645662,0.409000765977986,-0.9157868503937002,-0.9157868503937004,4.31437028325612,4.275716828011364,5.1216668503937,5.028426850393701,-0.03742054368400498,-0.04834970794847162,-1.4999999999999998,-1.5000000000000004,[-6.36048    -0.91578685  4.20588   ],[-6.35796    -0.91578685  4.11264   ],[-6.36048    -0.91578685  4.20588   ],[-6.35796    -0.91578685  4.11264   ],-28.9060156224,-28.393320614399997
43,AAPL,3,373970,902328,-0.2993822834645667,-0.28594228346456657,0.4144501777624101,-0.9157868503937002,-0.9157868503937004,3.6546116713907577,3.6639263951729535,3.5194131496063,3.509333149606299,0.24819914028731369,0.2527764387297841,-1.5000000000000002,-1.4999999999999998,[-4.4352     -0.91578685  4.45284   ],[-4.42512    -0.91578685  4.48308   ],[-4.4352     -0.91578685  4.45284   ],[-4.42512    -0.91578685  4.48308   ],-19.731595967999997,-19.780206969599995
44,SUN,3,37715,144957,-1.6635422834645668,-1.7030222834645663,0.26018060528294595,-0.9157868503937002,-0.9157868503937004,3.5569369485898257,3.6475912528600483,3.1863068503937004,3.2341868503937006,-0.3060460712927894,-0.31368206003026505,-1.5,-1.5000000000000004,[-6.34536    -0.91578685  2.27052   ],[-6.51168    -0.91578685  2.3184    ],[-6.34536    -0.91578685  2.27052   ],[-6.51168    -0.91578685  2.3184    ],-18.482106787200003,-19.289958911999996
