,Ticker,Date,Length(days),Total Trades,Total Quotes,Mean Returns(Trades),Mean Returns(Quotes),Trade Quote Ratio,Median Returns(Trades),Median Returns(Quote),Standard Deviation(Trades),Standard Deviation(Quotes),Mean Absolute Deviation(Trades),Mean Absolute Deviation(Quotes),Skew(Trades),Skew(Quotes),Kurtosis(Trades),Kurtosis(Quotes),10 Largest Returns(Trades),10 Largest Returns(Quotes),10 Smallest Returns(Trades),10 Smallest Returns(Quotes),Maximum Drawdown(Trades),Maximum Drawdown(Quotes)
0,SUNW,20070620,1,25645,35006,-1.0086300000000001,-0.8633519999999999,0.7325886990801577,-1.0086300000000001,-0.8633519999999999,0.7074900000000001,0.608328,0.7074900000000001,0.608328,4.702627419083866e-16,0.0,-2.0,-2.0,[-1.71612 -0.30114],[-1.47168  -0.255024],[-1.71612 -0.30114],[-1.47168  -0.255024],-1.71612,-1.4716799999999999
1,SUNW,20070621,2,57582,76247,1.1239199999999998,1.24488,0.755203483415741,1.1239199999999998,1.24488,2.85264,2.7266399999999997,2.85264,2.7266399999999997,0.0,0.0,-2.0,-2.0,[-1.72872  3.97656],[-1.48176  3.97152],[-1.72872  3.97656],[-1.48176  3.97152],-0.0,-0.0
2,SUNW,20070622,3,76506,107010,-0.97902,-0.9777600000000001,0.7149425287356321,-0.97902,-0.9777600000000001,0.97902,0.9777600000000001,0.97902,0.9777600000000001,0.0,0.0,-2.0,-2.0,[-1.95804  0.     ],[-1.95552  0.     ],[-1.95804  0.     ],[-1.95552  0.     ],-0.0,-0.0
3,ADP,20070620,1,7458,24374,-0.97461,-0.9906119999999999,0.30598178386805613,-0.97461,-0.9906119999999999,0.67347,0.735588,0.67347,0.7355879999999999,0.0,-2.7893712639762223e-16,-2.0,-2.0,[-1.64808 -0.30114],[-1.7262   -0.255024],[-1.64808 -0.30114],[-1.7262   -0.255024],-1.64808,-1.7262
4,ADP,20070621,2,14071,48428,0.5203800000000001,0.5607,0.29055505079705957,0.5203800000000001,0.5607,0.8303400000000001,1.33938,0.8303400000000001,1.3393799999999998,0.0,2.772362726509169e-16,-2.0,-2.0,[-0.30996  1.35072],[-0.77868  1.90008],[-0.30996  1.35072],[-0.77868  1.90008],0.0,0.0
5,ADP,20070622,3,21322,77462,-0.48888000000000004,-0.504,0.2752575456352792,-0.48888000000000004,-0.504,0.8013600000000001,0.45108000000000004,0.8013600000000001,0.45108000000000004,0.0,-1.512026934470539e-16,-2.0,-2.0,[-1.29024  0.31248],[-0.95508 -0.05292],[-1.29024  0.31248],[-0.95508 -0.05292],-0.0,-0.05292000000000001
