,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
0,SUNW,20070620,0,34200000,152606,5.139999866485596,
1,SUNW,20070620,833,34800000,5100,5.119999885559082,-0.00389
2,SUNW,20070620,1311,35400000,2000,5.110000133514404,-0.00195
3,SUNW,20070620,2427,36000000,400,5.079999923706055,-0.00587
4,SUNW,20070620,3633,36600000,5000,5.139999866485596,0.01181
5,SUNW,20070620,4120,37200000,1000,5.150000095367432,0.00195
6,SUNW,20070620,5142,37800000,100,5.139999866485596,-0.00194
7,SUNW,20070620,5707,38400000,215,5.131999969482422,-0.00156
8,SUNW,20070620,5906,39000000,650,5.130000114440918,-0.00039
9,SUNW,20070620,6444,39600000,200,5.119999885559082,-0.00195
10,SUNW,20070620,6675,40200000,100,5.119999885559082,0.0
11,SUNW,20070620,7018,40800000,200,5.119999885559082,0.0
12,SUNW,20070620,7705,41400000,500,5.132199764251709,0.00238
13,SUNW,20070620,8281,42000000,180,5.119999885559082,-0.00238
14,SUNW,20070620,9100,42600000,200,5.130000114440918,0.00195
15,SUNW,20070620,9728,43200000,100,5.130000114440918,0.0
16,SUNW,20070620,10405,43800000,1000,5.119999885559082,-0.00195
17,SUNW,20070620,10855,44400000,700,5.119999885559082,0.0
18,SUNW,20070620,11657,45000000,250,5.119999885559082,0.0
19,SUNW,20070620,12177,45600000,700,5.130000114440918,0.00195
20,SUNW,20070620,12453,46200000,700,5.119999885559082,-0.00195
21,SUNW,20070620,12618,46800000,700,5.119999885559082,0.0
22,SUNW,20070620,14078,47400000,100,5.119999885559082,0.0
23,SUNW,20070620,14744,48000000,200,5.130000114440918,0.00195
24,SUNW,20070620,15237,48600000,100,5.125,-0.00097
25,SUNW,20070620,15636,49200000,100,5.130000114440918,0.00098
26,SUNW,20070620,16375,49800000,8500,5.130000114440918,0.0
27,SUNW,20070620,17044,50400000,200,5.110000133514404,-0.0039
28,SUNW,20070620,17740,51000000,1000,5.119999885559082,0.00196
29,SUNW,20070620,18062,51600000,100,5.110000133514404,-0.00195
30,SUNW,20070620,18698,52200000,500,5.105000019073486,-0.00098
31,SUNW,20070620,18983,52800000,111,5.110000133514404,0.00098
32,SUNW,20070620,19242,53400000,100,5.099999904632568,-0.00196
33,SUNW,20070620,19781,54000000,100,5.119999885559082,0.00392
34,SUNW,20070620,20272,54600000,500,5.110000133514404,-0.00195
35,SUNW,20070620,20656,55200000,850,5.099999904632568,-0.00196
36,SUNW,20070620,21017,55800000,300,5.099999904632568,0.0
37,SUNW,20070620,21942,56400000,144,5.099999904632568,0.0
38,SUNW,20070620,23567,57000000,100,5.085000038146973,-0.00294
39,SUNW,20070621,0,34200000,305535,5.070000171661377,-0.00295
40,SUNW,20070621,961,34800000,200,5.079999923706055,0.00197
41,SUNW,20070621,1937,35400000,100,5.085000038146973,0.00098
42,SUNW,20070621,2530,36000000,1200,5.070000171661377,-0.00295
43,SUNW,20070621,3154,36600000,100,5.070000171661377,0.0
