,Ticker,Date,N,MillisFromMidn,Size,Price,Returns
2,IBM,20070622,0,34224000,100,105.95999908447266,0.0018
0,ITT,20070620,0,34445000,17500,69.98999786376953,
1,ITT,20070621,0,34305000,8400,69.13999938964844,-0.01214
2,ITT,20070622,0,34205000,4200,69.55000305175781,0.00593
0,PCG,20070620,0,34377000,37200,47.060001373291016,
1,PCG,20070621,0,34391000,41500,45.5,-0.03315
2,PCG,20070622,0,34277000,30400,45.63999938964844,0.00308
0,PEP,20070620,0,34240000,88100,66.12000274658203,
1,PEP,20070621,0,34236000,52800,65.5199966430664,-0.00907
2,PEP,20070622,0,34297000,60000,65.58000183105469,0.00092
0,MO,20070620,0,34238000,100,69.68000030517578,
1,MO,20070621,0,34293000,100,68.31999969482422,-0.01952
2,MO,20070622,0,34250000,171400,68.5,0.00263
0,COP,20070620,0,34272000,100,80.41000366210938,
1,COP,20070621,0,34334000,117200,78.91999816894531,-0.01853
2,COP,20070622,0,34291000,114400,79.58999633789062,0.00849
0,AMGN,20070620,0,34200000,63706,58.099998474121094,
1,AMGN,20070621,0,34200000,46015,57.59000015258789,-0.00878
2,AMGN,20070622,0,34200000,100,56.709999084472656,-0.01528
0,SLB,20070620,0,34212000,100,85.05000305175781,
1,SLB,20070621,0,34502000,100,85.41000366210938,0.00423
2,SLB,20070622,0,34212000,100,86.0,0.00691
0,CVX,20070620,0,34210000,70000,83.5999984741211,
1,CVX,20070621,0,34213000,67500,81.48999786376953,-0.02524
2,CVX,20070622,0,34225000,79300,82.8499984741211,0.01669
0,AAPL,20070620,0,34200000,157318,123.87999725341797,
1,AAPL,20070621,0,34200000,100,121.69999694824219,-0.0176
2,AAPL,20070622,0,34200000,100,123.8499984741211,0.01767
0,SUN,20070620,0,34241000,7300,85.38999938964844,
1,SUN,20070621,0,34225000,100,83.23999786376953,-0.02518
2,SUN,20070622,0,34237000,9800,83.98999786376953,0.00901
0,AMAT,20070620,0,34201000,97736,19.790000915527344,
1,AMAT,20070621,0,34201000,400,19.649999618530273,-0.00707
2,AMAT,20070622,0,34200000,500,20.110000610351562,0.02341
0,MRO,20070620,0,34210000,100,65.19999694824219,
1,MRO,20070621,0,34209000,51600,62.47999954223633,-0.04172
2,MRO,20070622,0,34242000,90100,62.900001525878906,0.00672
0,VMC,20070620,0,34237000,5200,119.52999877929688,
1,VMC,20070621,0,34219000,1600,116.8499984741211,-0.02242
2,VMC,20070622,0,34250000,2300,119.3499984741211,0.02139
0,ATG,20070620,0,34324000,7400,40.599998474121094,
1,ATG,20070621,0,34373000,4100,39.88999938964844,-0.01749
2,ATG,20070622,0,34614000,20100,40.45000076293945,0.01404
0,RSH,20070620,0,34209000,32600,33.84000015258789,
1,RSH,20070621,0,34546000,42700,32.65999984741211,-0.03487
2,RSH,20070622,0,34376000,100,32.290000915527344,-0.01133
0,TXN,20070620,0,34202000,200,37.209999084472656,
1,TXN,20070621,0,34233000,200,36.650001525878906,-0.01505
2,TXN,20070622,0,34284000,174600,37.470001220703125,0.02237
0,WYE,20070620,0,34339000,300,58.15999984741211,
1,WYE,20070621,0,34219000,45400,56.75,-0.02424
2,WYE,20070622,0,34337000,60400,56.68000030517578,-0.00123
0,EIX,20070620,0,34273000,15900,55.79999923706055,
1,EIX,20070621,0,34225000,8900,54.310001373291016,-0.0267
2,EIX,20070622,0,34268000,10900,54.5,0.0035
0,GT,20070620,0,34273000,23800,34.54999923706055,
1,GT,20070621,0,34320000,100,34.220001220703125,-0.00955
